,hyponym,hypernym,proposed_label
2951,information,the procedural section in this issuance,0.0
2952,identification of gap in service for military family with special need,the activity of the osn,0.0
2953,action,the activity of the osn,0.0
2954,the reason,problematic assignment,0.0
2955,staffing,resource,2.0
2956,the extended health care option,tricare benefit,2.0
2957,any program,tricare benefit,0.0
2958,number of individualized service plan,the efmp,0.0
2959,a primary care manager,medical care from any provider,2.0
2960,denial of command sponsorship,administrative sanction,0.0
2961,employee right,applicant for employment,0.0
2962,the development,non clinical case management to family of active duty service member,0.0
2963,maintenance of an individualized sp,non clinical case management to family of active duty service member,1.0
2964,coordination of service,relocation,0.0
2965,evaluation,the supervision of a military department,0.0
2966,the development and maintenance of an individualized sp,referral for family with special need,0.0
2967,educational social community housing legal and financial service,their quality of life,0.0
2968,neurology,a specific field,0.0
2969,cardiology,a specific field,0.0
2970,rheumatology,a specific field,0.0
2971,dermatology,a specific field,0.0
2972,faculty and staff assignment,training program throughout the lifecycle career of an fao,0.0
2973,regional center for security study,initiative,0.0
2974,partner language training center,initiative,0.0
2975,defense and service attachs security assistance officer,regional expertise requirement for position,0.0
2976,cocom and joint staff country desk officer,regional expertise requirement for position,0.0
2977,defense agency analyst,regional expertise requirement for position,1.0
2978,the information,a follow up report,0.0
2979,previously forward nomination,the recommend officer,0.0
2980,adverse information,osd,0.0
2981,reportable information,osd,0.0
2982,witness statement,the investigation report,0.0
2983,adverse or reportable information,the prb,0.0
2984,the name of the psb,appointment as a result of a psb,0.0
2985,a statement,active duty list,0.0
2986,one blank line,the second and subsequent grade,0.0
2987,information,skill,1.0
2988,guideline on the need,skill,2.0
2989,the requirement for the secretary,the preparation of summary,0.0
2990,unfilled requirement at high grade,2 estimate vacancy,0.0
2991,above zone eligible officer,general and flag officer board,0.0
2992,an evaluation on the appropriateness of fee,grant,0.0
2993,proper management of skill,the dod intent of the program,0.0
2994,report on utilization tour of fellow,quantifiable performance measure,2.0
2995,rate,career progression,2.0
2996,security force assistance,military operation,2.0
2997,defense support to civil authority,military operation,0.0
2998,the mutual benefit to the agency,military operation,0.0
2999,organization of increase exposure to experienced service member,military operation,0.0
3000,a briefing,the training,0.0
3001,benefit,the annual placement of personnel,0.0
3002,problem,the annual placement of personnel,0.0
3003,reclassification of a position,involuntary removal,0.0
3004,supply,logistical support,2.0
3005,service,logistical support,0.0
3006,adequacy of facility,item,1.0
3008,paper base independent study course,17 method,0.0
3009,computer,17 method,2.0
3010,internet,17 method,2.0
3011,base instruction,17 method,0.0
3012,office space,a military installation facility,0.0
3013,classroom,a military installation facility,0.0
3014,laboratory,a military installation facility,0.0
3015,contingency location,areas oconus,0.0
3016,restriction on personal behavior,tradition,2.0
3017,a reasonable charge for the provide education,cost,1.0
3018,book,cost,0.0
3019,supply,cost,1.0
3020,room,cost,0.0
3021,board,cost,2.0
3022,transportation,cost,2.0
3023,miscellaneous item,cost,0.0
3024,the use of standardized trauma training platform,a standardized combat casualty care instruction for all service member,0.0
3025,commercial training simulation,when alternative,0.0
3029,mrt requirement in joint mission essential task list,the ccdr,0.0
3030,endemic infectious disease agent,symptom of exposure to theater specific health hazard,0.0
3031,countermeasure,symptom of exposure to theater specific health hazard,0.0
3032,ta,financial support,2.0
3033,any charge,fee,0.0
3034,veteran,part from any federal source,0.0
3035,a high school diploma,3 lead to a credential,0.0
3036,certificate,3 lead to a credential,1.0
3037,college degree,3 lead to a credential,0.0
3038,ta counseling,educational service,0.0
3039,academic advice,educational service,2.0
3040,part,ed,2.0
3041,high school program,this mou,0.0
3042,academic skill program,this mou,0.0
3044,their eligible adult family member,this mou,0.0
3045,service specific addendum,the requirement of this mou,0.0
3046,access,office for academic and financial advising,0.0
3047,third party lead generator,agent,2.0
3048,marketing firm,agent,2.0
3049,third party lead generator,agent,2.0
3050,the army ace registry transcript system,datum from document,2.0
3051,the sailor marine ace registry transcript system,datum from document,2.0
3052,the community college of the air force transcript,datum from document,0.0
3053,the coast guard institute transcript,datum from document,2.0
3054,total and any final year or final semester residency requirement,the student program of study,0.0
3055,active duty service member,this single tuition rate,0.0
3056,the national guard,this single tuition rate,2.0
3057,reservists,this single tuition rate,0.0
3058,who,this single tuition rate,0.0
3059,state legislature,no jurisdiction,0.0
3060,board,no jurisdiction,2.0
3061,a diploma,proof of completion,0.0
3062,certificate,proof of completion,1.0
3063,the name of the instructor,information,1.0
3064,the first and name of each student,information,1.0
3065,ferpa,conformity with all applicable privacy law,0.0
3066,current accreditation status,item,2.0
3067,update program offering,item,2.0
3068,program delivery service,item,2.0
3069,office space,a dod installation facility,0.0
3070,classroom,a dod installation facility,0.0
3071,laboratory,a dod installation facility,0.0
3072,the army ace registry transcript system,legacy document,2.0
3073,the sailor marine ace registry transcript system,legacy document,0.0
3074,the ccaf transcript,legacy document,2.0
3075,the coast guard institute transcript,legacy document,2.0
3076,reserve unit member,the selres,0.0
3077,job performance aid,professional development,0.0
3078,guideline for dl program,education and training policy,0.0
3079,system,education and training policy,0.0
3080,technology,education and training policy,1.0
3081,guideline for dl program,education and training policy,0.0
3082,system,education and training policy,0.0
3083,technology,education and training policy,1.0
3084,o,3 dadlac invitee,0.0
3085,the evaluation factor at enclosure,this instruction,0.0
3086,mission rehearsal,training,0.0
3087,instrumentation,they,0.0
3088,communication infrastructure,they,0.0
3090,rmt event,oversight of special operation activity,0.0
3091,dod issuance,regulation,0.0
3092,write notification of activity,the nature of the training,0.0
3093,the category determination,the event approval,0.0
3094,any exception,the event approval,0.0
3095,the follow step in the order,this process,0.0
3096,abort criterion,documentation,1.0
3097,interaction with civilian population,urban environment,2.0
3098,legal liability with wide visibility,probability of the occurrence of a negative incident,0.0
3099,legal liability,a negative incident,0.0
3100,application,example of minimal cost,0.0
3101,registration,example of minimal cost,0.0
3102,fee,example of minimal cost,0.0
3103,qualification,an overview of trade,0.0
3104,skill,an overview of trade,0.0
3105,tlo,combat casualty care tier one cmt,0.0
3106,elo,combat casualty care tier one cmt,0.0
3107,the stated purpose of the training,combat casualty care tier one cmt,0.0
3108,the desire outcome of the training,combat casualty care tier one cmt,0.0
3109,tlo,management training,0.0
3110,elo,management training,0.0
3111,purpose for learning,management training,0.0
3112,their content,current training requirement,1.0
3113,validity,current training requirement,0.0
3114,periodicity,current training requirement,0.0
3115,social networking service,communication,0.0
3116,counterintelligence insider threat,communication,0.0
3117,anomaly,communication,0.0
3119,action,a mitigation plan,0.0
3120,individual,all that military services force,0.0
3121,administrative separation,the full range of administrative and disciplinary action,0.0
3122,appropriate criminal action,the full range of administrative and disciplinary action,0.0
3123,clemency,efficiency in military correctional program,0.0
3124,supervised release program,efficiency in military correctional program,0.0
3125,mcf operation,efficiency in military correctional program,0.0
3126,military security police detention cell,an mcf,2.0
3127,all proposal,change in rehabilitation and treatment program,0.0
3128,participation in rehabilitation program,the prisoner confinement file,0.0
3129,length of sentence,circumstance of the prisoner sentence,0.0
3130,offense relate rehabilitation program,the prisoner confinement file,0.0
3131,age,the personal characteristic of the prisoner,0.0
3132,education,the personal characteristic of the prisoner,0.0
3133,no confinement,unsuspended sentence,0.0
3134,confinement for life,approve unsuspended sentence,0.0
3135,a fine,an approve sentence,0.0
3136,those prisoner,all prisoner for msr,0.0
3137,the loss of gct,the provision of the release,0.0
3138,et,the provision of the release,0.0
3139,sex offender registration,state and local registration requirement,0.0
3140,documentary evidence,another medium,0.0
3141,notification of change in a prisoner confinement status,datum on v w assistance,0.0
3142,a dishonorable discharge,a death sentence,0.0
3143,dismissal,a death sentence,0.0
3144,high incidence of disease,notably unhealthful condition,2.0
3145,extension,any overseas tour,0.0
3146,the military departments,comment from dod components,0.0
3147,the propose feml relief destination,comment from dod components,0.0
3148,time,the entire authorize absence,0.0
3149,eligible member,eligible member,2.0
3150,limitation in her assignment,her career,0.0
3151,the board recommendation,or her receipt of the report of the board of inquiry,0.0
3152,soldier,special recognition for exceptional performance,0.0
3153,sailor,special recognition for exceptional performance,0.0
3154,major crime,substantial public interest,0.0
3155,the day of the member,creditable time for ac service member,2.0
3156,arrival,creditable time for ac service member,0.0
3157,the day,mobilization for this purpose,0.0
3158,the service member,mobilization for this purpose,0.0
3159,non,supplementary table,0.0
3160,the day,pdmra accrual for ac service member,2.0
3161,the day,this enclosure,0.0
3162,high incidence of disease,notably unhealthful condition,2.0
3163,epidemic,notably unhealthful condition,2.0
3164,lack of public sanitation,notably unhealthful condition,2.0
3165,inadequate health control measure,notably unhealthful condition,2.0
3166,the military departments,comment from dod components,0.0
3167,the propose feml relief destination,comment from dod components,0.0
3168,time,the entire authorize absence,0.0
3169,eligible member,eligible member,2.0
3170,limitation in her assignment,her career,0.0
3171,the board recommendation for removal from active duty,her receipt of the report of the board of inquiry,0.0
3172,the expiration of any period,her receipt of the report of the board of inquiry,0.0
3173,soldier,special recognition for exceptional performance,0.0
3174,sailor,special recognition for exceptional performance,0.0
3175,airman of the month,special recognition for exceptional performance,0.0
3176,year,special recognition for exceptional performance,0.0
3177,major crime,substantial public interest,0.0
3178,the day of the member,creditable time for ac service member,2.0
3179,arrival at the deploy location through departure of boot,creditable time for ac service member,0.0
3180,the day,mobilization for this purpose,0.0
3181,the service member,mobilization for this purpose,0.0
3182,non monetary recognition program,supplementary table,0.0
3183,the day,1 pdmra accrual for ac service member,2.0
3184,the day,this enclosure,0.0
3185,a cot,tdy,0.0
3186,commander,the special pass,0.0
3187,the pan american games,civilian amateur competition,2.0
3188,the olympic games,civilian amateur competition,2.0
3189,the paralympic games,civilian amateur competition,2.0
3190,qualifying event,civilian amateur competition,0.0
3191,training,event,0.0
3192,the united states,approximately 131 member nation,2.0
3193,licensing,state regulatory law,0.0
3194,price control statue,state regulatory law,0.0
3195,the application,state regulatory law,0.0
3196,pay,naf personnel management,2.0
3197,support,periodic audits of afe financial operational and management control,0.0
3198,retire noncommissioned ship officer,3 retire wage marine personnel,0.0
3199,the district of columbia,jurisdiction,0.0
3200,unhealthful condition,federal agency,0.0
3201,hostile or imminent danger,federal agency,0.0
3202,zip code in their entirety,the dmdc result,0.0
3203,all informational communication,authorization,1.0
3204,advertising,authorization,1.0
3205,equipment maintenance,a central product processing facility,0.0
3206,information technology,a central product processing facility,0.0
3207,brac,a military installation,0.0
3208,global restationing requirement,a military installation,0.0
3209,transportation,any service,2.0
3210,tobacco,pricing information for individual commissary product,2.0
3211,the direct level of commissary benefit,performance goal,1.0
3212,the internal audit plan,the effectiveness of deca internal control program,0.0
3213,the result of audits,the effectiveness of deca internal control program,0.0
3214,the application of standard of conduct,the effectiveness of deca internal control program,0.0
3215,pre,unmarried child under 21 year of age,0.0
3216,the reserve components,the department of the air force,2.0
3217,the government wide purchase card,apf in payment,1.0
3218,milk,private on base quarter,0.0
3219,bread,private on base quarter,0.0
3220,delivery,private on base quarter,0.0
3221,wine,alcohol,2.0
3222,pre adoptive child,unmarried child under 21 year of age,0.0
3223,pre adoptive child,unmarried child,2.0
3224,military exchange,nafis,2.0
3225,mwr activity,nafis,0.0
3226,permanent change of station,lodging,0.0
3227,pcs,lodging,2.0
3228,pharmacies,dental services,2.0
3229,lawn mower,outdoor power equipment,2.0
3230,local mayor,agent,2.0
3231,head of prominent civic group,agent,2.0
3232,the mean,civic organization,2.0
3233,the determination,the establishment of sale outlet for package alcoholic beverage,0.0
3234,finding,the establishment of sale outlet for package alcoholic beverage,0.0
3235,all management,beverage to the store,0.0
3236,logistic,beverage to the store,0.0
3237,administration,beverage to the store,0.0
3238,depreciation,beverage to the store,0.0
3239,food at regular exchange mark up,all merchandise,0.0
3240,the threat of hostile force,good under emergency condition,0.0
3241,natural disaster,good under emergency condition,0.0
3242,confinement for 6 month,the sentence by civilian authority,0.0
3243,the reason for separation,the quality of the service member service,0.0
3244,guidance in subparagraph,the quality of the service member service,0.0
3245,the specific circumstance,the reason for separation,0.0
3246,record of conviction by court martial,a prior service activity,0.0
3247,military morale,an adverse impact on the overall effectiveness of the service,0.0
3248,efficiency,an adverse impact on the overall effectiveness of the service,0.0
3249,evidence of continue drug abuse after initial entry into a treatment and rehabilitation program,independently derive evidence,0.0
3250,the circumstance,the basis of the propose separation,0.0
3251,the circumstance,the basis of the propose separation,0.0
3252,alien,a enlisted personnel,0.0
3253,transfer to the irr,active duty,2.0
3254,trainee,initial entry training status,0.0
3255,recruit,initial entry training status,0.0
3256,cadet,initial entry training status,0.0
3257,history,the full clinical information,0.0
3258,treatment status,the full clinical information,0.0
3259,potential for recovery of the service member,the full clinical information,0.0
3260,medical condition,the full clinical information,0.0
3261,the informal physical evaluation board,the peb process,0.0
3262,the evidence,the record of all proceeding for peb evaluation,0.0
3263,national resource directory,ill and injure service member,2.0
3264,the circumstance of referral,service member fitness,2.0
3265,consideration,her duty,0.0
3266,the pairing of a singularly unfitting condition with a condition,combine effect,0.0
3267,a motor vehicle accident,willful negligence,0.0
3268,hospitalization in connection with the conduct,tdrl examination,0.0
3269,war game,military training,0.0
3270,practice alert,military training,0.0
3271,tactical exercise,military training,0.0
3272,airborne operation,military training,0.0
3274,jogging,ity,2.0
3275,formation,ity,2.0
3276,mental disease,physical disability,2.0
3277,documentation of all outpatient appointment,it,0.0
3278,the service regulation,circumstance before the discharge authority,0.0
3279,a factor,circumstance,0.0
3281,the seriousness of the offense,reason,0.0
3282,specific circumstance,reason,1.0
3283,the drb president ,a copy of the propose decisional document,2.0
3284,health record,service record,1.0
3285,information,service record,1.0
3286,date of enlistment,service history,2.0
3287,period of enlistment,service history,1.0
3288,high rank,service history,2.0
3289,the disposition of issue,the basis for the decision,0.0
3290,the testimony,sra,2.0
3291,finding of fact,reason in support of the conclusion,0.0
3292,finding of fact,the conclusion,0.0
3293,active duty,full time duty service,0.0
3294,full time,full time duty service,0.0
3295,national guard duty,full time duty service,2.0
3296,officer,active duty,0.0
3297,their reason,concurrence,0.0
3298,recommendation for additional education,support,0.0
3299,vocational training,support,0.0
3300,deployment,operational event,0.0
3301,mobilization,operational event,0.0
3303,change in family status,major personal or professional life event,0.0
3304,dod,regulation,0.0
3306,information on budgeting,counseling,0.0
3307,education,e va benefit orientation,0.0
3308,employment,e va benefit orientation,2.0
3310,a personal self,the ic,0.0
3311,remedial skill section,resource,2.0
3312,the development,it,0.0
3313,stress management,resource on transition relate issue,2.0
3314,resiliency,resource on transition relate issue,0.0
3315,consideration,resource on transition relate issue,0.0
3316,curriculum,it,0.0
3317,instruction material,it,0.0
3318,default election,the rc sbp program,0.0
3319,automatic coverage,program detail on matter,0.0
3320,open enrollment period,program detail on matter,0.0
3321,eligibility,program detail on matter,0.0
3323,a physician statement,document,0.0
3324,school,non medical source,2.0
3326,caregiver,non medical source,2.0
3327,social worker,non medical source,2.0
3328,employer,non medical source,2.0
3331,audiologist,practitioner,2.0
3332,public and private agency,source,1.0
3333,specific determination,a full explanation of the reason for the denial,0.0
3334,supplemental security income,if this occur the dependent childs entitlement to federal benefit,0.0
3335,medicaid,if this occur the dependent childs entitlement to federal benefit,0.0
3336,command and staff colleges,example,0.0
3337,senior service college,example,0.0
3338,the united states army sergeants major academy,example,0.0
3339,medical residency,example,0.0
3340,all post graduate professional education opportunity,example,0.0
3341,service member,this category,0.0
3342,who,this category,0.0
3343,grade,factor,0.0
3344,year of service,factor,1.0
3345,viability for advancement,factor,0.0
3346,promotion,factor,2.0
3347,tera,a service offer for early retirement,2.0
3348,retire service member,limitation on the wearing of the uniform by service member,0.0
3349,service member of reserve componentstable of content 2 table of content section,limitation on the wearing of the uniform by service member,0.0
3350,unofficial public speech,activity,2.0
3351,interview,activity,2.0
3352,picket line,activity,2.0
3354,rally,activity,2.0
3355,any public demonstration,activity,2.0
3356,officer,this timeline,0.0
3358,the department of veterans affairs,appropriate governmental agency,2.0
3359,release from a status,separation from a period of active service with a military service,0.0
3360,zip code,address,0.0
3361,dd form,this series,0.0
3362,the military services,this issuance,0.0
3363,current and military member,federal personnel,0.0
3364,file naming convention,these specification,0.0
3365,security protocol,these specification,0.0
3366,jr,example,0.0
3367,prefix,the afsc,0.0
3368,national security emergency,attack,2.0
3369,the member residence,housing,2.0
3370,training,unit training,0.0
3371,military human resource information,they,0.0
3372,foreign national and reserve officer training corps scholarship cadet,exception category,0.0
3373,military academy,datum within the military departments,0.0
3374,transfer to agency storage facility,these action,0.0
3375,the dd form,accession information,0.0
3377,furniture,dining facility appointment,2.0
3378,accessory,dining facility appointment,2.0
3379,an adjustment to the cash clothing replacement allowance for enlist member,all departure from the prescribed clothing monetary allowance system,0.0
3380,special distinctive uniform,organizational clothing,2.0
3381,guest bedroom,official entertainment,2.0
3382,aviation cadet,officer,2.0
3383,aluminum phosphide,solid fumigant formulation,2.0
3384,magnesium,solid fumigant formulation,2.0
3385,flow,launch duct operation,2.0
3386,pressurization,launch duct operation,2.0
3387,action in proximity to the service member,hostile action,0.0
3388,the initial determination,the claim,0.0
3389,the recommendation,decision on the write record,0.0
3390,administrative report,decision on the write record,0.0
3391,any rebuttal by the claimant,decision on the write record,0.0
3392,the application,the record,0.0
3393,notice of untimely receipt,the record,0.0
3394,the application,the record,0.0
3395,notice of untimely receipt,the record,0.0
3396,an itemization,the aggregate amount of the debt,0.0
3397,leave,document,0.0
3398,earning,document,0.0
3399,an itemization,the aggregate amount of the debt,0.0
3400,leave,document,0.0
3401,earning,document,0.0
3402,tricare,military benefit,0.0
3403,a circumstance,legal custody,0.0
3404,official leave,lawful cause,0.0
3405,official leave,or lawful cause,2.0
3406,any instruction,at 4 hour,0.0
3407,the summer month,summer language immersion program,2.0
3408,the office,osd components,0.0
3409,personnel repository,synchronization across dod datum system,0.0
3410,benefit and entitlement program,the efficient administration of dod mission,0.0
3411,address,contact information,0.0
3412,e,contact information,0.0
3413,dependent,all dod id card holder,0.0
3414,who,all dod id card holder,0.0
3415,dodhra,benefit relate issue,0.0
3416,dmdc,benefit relate issue,0.0
3417,defense health agency,benefit relate issue,0.0
3419,the veterans recruitment appointment,authority,0.0
3420,adoption by a single person,reimbursement,0.0
3421,reasonable and expense,2 qualifying adoption expense,0.0
3422,adoption fee,public and private agency fee,2.0
3423,fee,fee,2.0
3424,clothing,item,2.0
3425,bedding,item,2.0
3426,toy,item,2.0
3427,book,item,2.0
3428,any member of the military services,service member,2.0
3429,subsidized school lunch program,income,2.0
3430,the women,income,2.0
3431,infant,income,2.0
3432,children,income,2.0
3433,program,income,2.0
3434,day care program,income,2.0
3435,medical or dependent care,reimbursement for expense,0.0
3436,a subsequent in person,recertification of eligibility for scaadl compensation,0.0
3437,care in emergency room,outpatient care,0.0
3438,day surgery center,outpatient care,2.0
3439,ambulatory procedure clinic for patient,outpatient care,0.0
3440,who,outpatient care,0.0
3441,member of the phs,this iinstruction,0.0
3442,member of the noaa corps,this iinstruction,0.0
3443,accommodation,the related service of transportation,0.0
3444,medical service for diagnostic or evaluative purpose,special education,0.0
3445,guidance from the asd,this instruction,0.0
3446,the dissemination of information,child find activity,0.0
3447,vision,physical development,2.0
3448,hearing,physical development,0.0
3449,communication development,physical development,0.0
3450,evaluation and assessment activity,coordination of service,0.0
3451,development,coordination of service,0.0
3452,home,a setting,2.0
3453,community,a setting,0.0
3454,child development center,the dod components,0.0
3455,psychological counseling for child,a program of psychological service,0.0
3456,parent,a program of psychological service,0.0
3457,service,the term,0.0
3458,instruction,the unique need of a child with a disability,0.0
3459,post secondary education,school activity,0.0
3460,vocational education,school activity,0.0
3461,integrate employment,school activity,2.0
3462,the cost of mileage,transportation and related cost,0.0
3463,travel by taxi,transportation and related cost,0.0
3464,common carrier,transportation and related cost,0.0
3465,toll,transportation and related cost,0.0
3466,parking expense,transportation and related cost,0.0
3467,special or adapt bus,specialized equipment,2.0
3468,lift,specialized equipment,2.0
3469,ramp,specialized equipment,2.0
3470,a teacher counselor nurse or library or medium specialist,that school,0.0
3471,support,the installation commander on matter,0.0
3472,within the jurisdiction of the commander,the installation commander on matter,0.0
3473,applicable component command,the installation commander on matter,0.0
3474,reserve component,dependent family member of service member,2.0
3475,their designate representative,supervisor of member,1.0
3476,information,all aspect of deployment,0.0
3477,arrangement for a non military escort for family member,caregiver to a location,0.0
3478,private sector community organization,list of certify child care provider,0.0
3479,dod civilian employee,dod personnel,0.0
3480,dod family,dod personnel,0.0
3481,dod,dod personnel,0.0
3482,health care provider,family,0.0
3483,school personnel,family,0.0
3484,legal personnel,family,0.0
3485,chaplain,family,0.0
3486,military family,local community,0.0
3487,commander,local community,0.0
3488,medical personnel,local community,0.0
3489,chaplain,local community,0.0
3490,child and youth service personnel,local community,0.0
3491,school personnel,local community,0.0
3492,community,local community,0.0
3493,career,resilience,0.0
3494,referral to appropriate authority,policy,0.0
3495,job search method,skill,0.0
3496,exam and registration fee,a qualifying relicensing cost,0.0
3497,criterion,an efa response,0.0
3498,plan for synchronization of service,execution of the efa plan,0.0
3499,line of succession,an efac staffing structure,2.0
3500,update contact roster for key management and staff position,an efac staffing structure,2.0
3501,the type,the efac operational component,0.0
3502,assessment,psychosocial service,0.0
3504,entitlement,financial service,2.0
3505,location,emergency response procedure,0.0
3506,interview,customer,0.0
3507,specialized screening for individual,student intern,0.0
3508,who,student intern,0.0
3509,interview,customer,0.0
3510,interview,customer,0.0
3511,access to information,the efa response,0.0
3512,interview,customer,0.0
3513,opportunity for distance learning,workshop,0.0
3514,access to online resource,o self direct information gathering,2.0
3515,informational database,o self direct information gathering,2.0
3516,interview,customer,0.0
3517,a co occur behavioral health issue,the need for specialized or intensive service beyond the scope of the fap,0.0
3518,interview,customer,0.0
3519,information,information on money management,0.0
3520,the blended retirement system,o retirement planning,0.0
3521,lump sum,o retirement planning,0.0
3522,tsp,o retirement planning,0.0
3523,survivor benefit plan,o retirement planning,0.0
3524,interview,customer,0.0
3525,interview,customer,0.0
3526,interview,customer,0.0
3527,career coaching,o employment assistance,0.0
3528,planning,o employment assistance,0.0
3529,interview,customer,0.0
3530,current job listing,the customer with relevant labor market information,0.0
3531,interview,customer,0.0
3532,interview,customer,0.0
3533,interview,customer,0.0
3534,specialized screening for individual,completion of required background investigation for volunteer,0.0
3535,who,completion of required background investigation for volunteer,0.0
3536,group association,everyday life,0.0
3537,organize network of personal and collective relationship,everyday life,2.0
3538,lease space,the dod,0.0
3539,a dependent abuse offense,the basis for the separation,0.0
3540,payment of tc to a spouse,the basis for the separation,0.0
3541,spouse,the basis for the separation,0.0
3542,dependent child,the basis for the separation,0.0
3543,mental health service,medical and dental care,2.0
3544,sexual assault,abuse offense,2.0
3545,rape,abuse offense,2.0
3546,sodomy,abuse offense,2.0
3547,an adopt child,an unmarried child,2.0
3548,a stepchild,an unmarried child,0.0
3549,who,an unmarried child,2.0
3550,policy for development,provision on instructional service,1.0
3552,textbook,provision on instructional service,2.0
3553,attendance,student,2.0
3554,grading,student,2.0
3555,maintenance,noninstructional service,0.0
3556,custodial service,noninstructional service,2.0
3557,food service,noninstructional service,1.0
3558,student transportation,noninstructional service,2.0
3559,pre,common training standard for financial literacy training across the military lifecycle,0.0
3560,the opportunity,post deployment medical dental and mental health benefit to eligible individual,2.0
3561,ita,eligible individual,2.0
3562,special educational service,program,0.0
3563,wheelchair ramp,accommodation,2.0
3564,blood sugar monitoring,accommodation,2.0
3565,an extra set of textbook,accommodation,2.0
3567,home instruction,accommodation,2.0
3568,a tape recorder,accommodation,0.0
3569,keyboard,accommodation,2.0
3570,member of the national guard,active duty,2.0
3571,any lease facility,activity under dod jurisdiction,0.0
3572,authority,command authority,0.0
3573,employee,commercial agent,2.0
3574,barrack,duty,2.0
3575,transient housing,duty,2.0
3576,family quarter,duty,2.0
3578,special government employee,all civilian employee,1.0
3579,electronic banking,the united states,0.0
3580,e,the united states,0.0
3581,the purchaser,cool off period requirement for good cause,2.0
3582,the cost of preparation of the body,charge,0.0
3583,tax collection action,3 claim by state or municipal government under the processing guideline for complaint,0.0
3585,section,eight page,2.0
3586,time compliance and technical order accomplishment,special program,0.0
3587,time compliance and technical order accomplishment,special program,0.0
3589,interoperability requirement,operational need,0.0
3590,name,e primary and alternate poc information for nominated unit,0.0
3591,the combatant commands,the cjcs,0.0
3592,etp request,the cjcs,0.0
3593,individual award for valor,1 pmd,0.0
3594,meritorious service,1 pmd,0.0
3595,achievement under combat condition,1 pmd,0.0
3596,remote impact on combat operation,1 pmd,0.0
3597,non combat heroism,1 pmd,0.0
3598,a favorable recommendation for the award of the moh,the determination,0.0
3599,the secretary of defense,the determination,0.0
3600,title,military operation,2.0
3601,the prisoner of war medal,some individual service medal,2.0
3602,a medal,no military decoration,0.0
3603,service member from than one military department,the foreign unit award,0.0
3604,the secretaries of the military departments,the foreign unit award,0.0
3605,miniature medal,dod,0.0
3606,foreign decoration,dod,0.0
3607,the decoration of multilateral organization,dod,0.0
3608,the combatant commands,the cjcs,0.0
3609,the combatant commands,the cjcs,0.0
3610,the name,information on the website,0.0
3611,a copy of a discharge certificate,employment,0.0
3612,additional information,the affidavit,0.0
3613,those item from secondary source,unofficial source of secondary information,0.0
3614,the moh and service crosses,the military departments,0.0
3615,the office of the secretary,osd,2.0
3616,deputy secretary of defense,osd,0.0
3617,those operation,award of the gslb,0.0
3618,those personnel,award of the gslb,0.0
3619,morale,positive and negative organizational climate relate trend,0.0
3620,datum,military department datum call,0.0
3621,report,military department datum call,0.0
3622,the military service academies,compliance with this issuance within their respective military services,0.0
3623,any action,a final report on the result of the investigation,0.0
3624,commander,leader,0.0
3625,supervisor,leader,2.0
3626,sexual assault,allegation of problematic behavior,0.0
3627,sexual harassment,allegation of problematic behavior,0.0
3628,prohibit discrimination,prevention program for problematic behavior,2.0
3629,harassment,prevention program for problematic behavior,0.0
3630,prohibit activity,prohibit discrimination,0.0
3631,on off installation harassment,prohibit discrimination,2.0
3632,no action,the disposition of substantiate complaint,0.0
3633,non judicial punishment,the disposition of substantiate complaint,0.0
3634,the military service academies,6 assistance to all dod entity,0.0
3635,pme school,6 assistance to all dod entity,0.0
3636,email,a computer base electronic system,2.0
3637,internet,a computer base electronic system,2.0
3638,simulation,a computer base electronic system,2.0
3639,member of the reserve components,service member,2.0
3640,disparate treatment,discrimination discrimination,0.0
3641,joint duty assignments within category,additional subject for a time period within each category,0.0
3642,only those separation,assessment,0.0
3643,the federal emergency management agency,defense relate mission,2.0
3644,the selective service system,defense relate mission,0.0
3645,organization with mission,defense relate mission,0.0
3646,any appropriate coordination under dodi,respective military service policy,0.0
3647,all personnel,the jda program,0.0
3648,the office of intelligence,the analysis of intelligence information,0.0
3649,only exist flexibility,the notification,0.0
3650,conflict with dod personnel initiative,issue,0.0
3651,addition,additional example of minor modification,0.0
3652,any selective factor,equivalent form,0.0
3653,name request,equivalent form,0.0
3654,intra agency detail,example of short term assignment,0.0
3655,the ipa mobility program,any applicable statutory or regulatory authority,0.0
3656,facilitation of merit staffing procedure,executive matter,0.0
3657,tier designation determination,executive matter,0.0
3658,executive development,executive matter,0.0
3660,succession management,executive matter,2.0
3661,the role of chair,position,1.0
3662,vice chair,position,0.0
3663,executive secretary,position,2.0
3664,impact on mission,the characteristic of position,0.0
3665,level of complexity,the characteristic of position,0.0
3666,span of control,the characteristic of position,0.0
3667,inherent authority,the characteristic of position,0.0
3668,scope,the characteristic of position,0.0
3669,breadth of responsibility,the characteristic of position,0.0
3670,influence,the characteristic of position,0.0
3671,responsibility,position with common characteristic,0.0
3672,complexity,position with common characteristic,0.0
3673,scope of influence,position with common characteristic,0.0
3674,appointment into the ses,federal employment,0.0
3675,all group of individual,a minimum,0.0
3676,eep referral to the appoint authority,the full ses merit staffing process,0.0
3677,qrb certification,the full ses merit staffing process,0.0
3678,the uniform guideline in employee selection procedure,regulation,0.0
3679,the propose executive development plan,the entire submission,0.0
3680,impact on mission,position,0.0
3681,level of complexity,position,0.0
3682,span of control,position,0.0
3683,inherent authority,position,0.0
