Hyponym,Hypernym,Tag
newspaper,private and public medium,
property administration,Perform contract administration function,
coverall,equipment,
public repose,NCR JOA,
any cash flow,the period,
update datum,the repository,
cadet,active duty military personnel,
sharing,risk,
NWRM,inventory item,
those hold OCONUS,public event,
pumpjack lubrication system,rotate equipment,
telephone,communication equipment,
the Report,annual report,
reprimand,corrective measure,
garrison,sea and associate support activity,
standard profile,guidance,
the transfer,efficient transfer,
faculty,channel,
employee,all individual,
the development,special need,
chaplain,professional,
frequency,variable,
cost estimate assumption,document,
initiation,ASSIST,
performance,factor,
compliance,CERCLA standard,
item,Excess item,
requirement,CONOPS,
a cancellation,amendment,
asbestos,or demolition waste,
extrication,rescue operation,
internet blog,public medium,
change request,personnel level,
equipment,combustible matter,
travel order,document,
synchronization,DSCA policy,
identification card,item,
Supplemental Security Income,Federal benefit,
lumber,wood,
specialist,multidisciplinary team,
test equipment,resource,
information system,asset,
engineering,materiel,
bilateral or multilateral status,place,
evidence,evidence,
ig,a Military Department,
the specific software application,server,
silver service,equipment,
time,the entire authorize absence,
sexual harassment,discrimination,
the number,quarter,
subsequent determination,issa,
location,the CUI Registry,
the date,the estimate fair market value,
NATO Standardization Agreements,standardization agreement,
contracting,program,
the exercise,this contract,
procedure,access control,
security violation,related paperwork,
participant,security protection,
duty,core belief,
information,program,
the CPI sponsor,the CPI effort,
the DDLs,instrument,
pen,minor value,
certification requirement,this issuance,
neutralization,process,
processing,business transaction,
the reassignment,adequate medical care,
security,task,
announcement card,item,
classification,Security Program,
protective mask,personal protective equipment,
enlistment,a uniformed service,
breach,control unclassified information,
force entry,illegal act,
herbicide,desiccant,
transient housing,duty,
educational status,relevant demographic datum,
the survey area,that geographic area,
all plan increment,evaluation,
o,end item,
caregiver,medical source,
sale,ensure transfer,
insider threat,requirement,
reference,authority,
ache,normal functioning,
contracting officer,Perform contract administration function,
drawing,resource,
medical record,member disability case,
Reserve military,DoD service,
health,protection,
state,state active duty status,
shift differential,additive,
the circumstance,service member fitness,
potential,the future,
common user service,multiple service layer,
action,measure,
memorandum,informal document,
the DoDs DIB Cybersecurity Program,information sharing activity,
fishing,public recreational opportunity,
cover contractor,deceased personnel,
crate,a receptacle,
open case,open case,
the EMB SSG,the NLCC EMB structure,
the name,the supplementary guideline,
meteorology,the site,
guidance,DSCIR operation,
cybersecurity,vulnerability identification,
NSS,all IT investment,
purchase,any mean,
retire service,service member,
routine hand washing,precaution,
the District,Hawaii,
facility,NCR,
conflict situation,priority,
solicitation,contract document,
label,supply,
funding,program definition,
select individual program,lodging program,
conference,training,
Atmospheric Administrations,program,
certification,program,
transfer motor,all space vehicle component,
assignment,military personnel,
testimony,prospective candidate,
early user assessment,user testing,
the responsibility,employee,
sufficient detail,the issue,
DoDI,transfer,
the right,the UCMJ,
the consequence,datum,
quality,datum,
the Director,time,
depot,organization,
the impact,factor,
component level,a minimum,
Foreign Military Financing,dod authority,
quarry,facility,
ventilator,resource,
USAID,and agency,
testing,installation,
hospitality service,White House function,
those department,participate agency,
risk factor,risk assessment methodology,
service member option,the IDES process,
threat,security,
humanitarian mission,military operation,
the packing list,shipment,
Verizon,service,
integration,redevelopment,
audio,graphic art,
contractor,customer,
the Military Exchange Services,all nonappropriate fund instrumentality,
the development,program,
datum,commissary store,
access,record,
AM datum management good practice,a common DoD AM datum framework,
decontamination,contaminated environment,
the need,the nomination package,
basic medical support,emergency service,
information,characteristic,
pulse power,component,
development,allied and partner nation,
an agency,a foreign government,
market research,input,
wii,TRICARE beneficiary,
placement,the autoclave,
domain file share,DoD network resource,
health record,service record,
security review,Security Information,
resource,the cap,
grade,factor,
antiretroviral drug,medication,
green pepper,seven fresh topping,
high school graduation,personal plan,
those operation,the GSLB,
research,subsistence support,
the protection,plant health,
the employee,public agency,
coordination,coordination,
U,military personnel,
technical security countermeasure support,functional service,
NSS,it,
both print,mean,
ramp,specialized equipment,
policy,the SSP,
maintenance,materiel readiness,
flood,natural catastrophe,
expedite consideration,timely resolution,
the reimbursement,DoD CD activity,
ESPC,alternative financing vehicle,
physical condition,component,
the unauthorized removal,illegal act,
release,Military Service,
information,classified information,
record folder,the file plan,
all retire military member,Federal Government,
system,training aspect,
delay,the scheduling,
the Military Departments,DoD Components,
assignment,Administrative cost,
general identify datum,the childs cumulative folder,
explosive residue,munition,
the amount,metered mail,
travel,Student cost,
human resource,activity,
qrps,the ISWM program,
flood and disease control,service,
deletion,the United States,
the Termination,the contract,
pesticide applicator,pmp,
minority report,the NWSSG report,
nuclear weapon,nuclear weapon,
fund,resource,
environmental restoration,specific problem,
unauthorized entry,a building,
nomination,nep activity,
information,deployment,
monitor,hard drive component,
any evidence,the report,
special event,YPs,
CONUS,need,
effort,the project level,
direction,ethic guidance,
installation community support system,environment,
contractor,Pest management personnel,
training assistance,CATMS,
materiel management,logistics function,
U,applicable law,
state,organization,
website,generic service,
the circumstance,the propose separation,
table linen,household good,
United States Code,United States government document,
the capability,the ngrer,
the conduct,the SE program,
supply support,management,
feeding,pet care,
customer wait time metric,Track supply chain performance metric,
rdx,explosive powder,
receipt,outside activity,
JCIDS,CBRD RDA,
basic marksmanship,basic military skill,
solid waste,facility operation,
mill,facility,
suite,word,
lease space service,agency,
nonappropriate fund instrumentality,DoD Components,
DoD contractor,detainee debriefer,
the specification,passive RFID collection system,
range,datum accuracy,
medical surveillance,public health activity,
employer,medical source,
relationship,this section,
office,specific election,
contractor response,contract award,
the Code,United States government document,
safety,relate technical area,
guidance,this issuance,
item,specialized item,
education,goal,
testing,appropriate assessment,
both base,allocate fund,
a baseline set,base approach,
potential,the distribution plan,
first responder,partner agency,
TPs,publication,
salary,this service,
trainee,initial entry training status,
mileage,extra cost factor,
request,Other Federal Government Agencies,
personnel,administrative and logistic support,
recommendation,specific nuclear weapon system,
conditional,condition,
MPPEH,material,
the transportation,program,
case,accounting communitys electronic case file,
support,service,
active duty Service personnel,commercial fuel availability,
orthopedic implant,distribute product,
the commander,senior leader,
a State,small specify area,
the U,the United States,
administrative separation,disciplinary action,
ship,platform,
coordination,all legal matter,
the development,transportation mode,
food,nourishment,
job performance aids,professional development,
treatment status,information,
control cryptographic item,COMSEC equipment,
home,a setting,
spur,facility,
ccis,TSN CC,
summer camp,the YS,
a Presidential Library,a government repository,
development,technical and analytical assistance,
U,IMD,
material composition,design drawing,
sustainment management team,activity,
risk assessment,case management,
suggestion,information,
crisis,policy and program activity,
pyrotechnic,the energetic material,
gang,organized criminal activity,
authoritative direction,the command,
use,UII requirement,
the option,all treatment option,
digital color quality,printing and reproduction service,
architecture,topic,
action plan,that EEO and diversity program activity,
assessment,intelligence capability,
contracting action,program activity,
Part,policy,
standard profile,programmatic and technical guidance,
the Office,the Merit Systems Protection Board,
requirement,department,
equipping,security cooperation activity,
enemy prisoner,war,
C,exist solid waste management practice,
wind,weather,
potential,information,
the specific implementation,the DoD STIP,
performance,activity,
separation,disciplinary action,
FERPA,applicable privacy law,
information,weapon component,
government furnish property,asset,
current instruction,guidance,
recommend update,recommend solution,
migraine,normal functioning,
beacon,facility,
PNT service,the DoD PNT Enterprise,
associate application,electronic information sharing,
requirement,guidance,
military reservation,facility,
associate security metadata,a minimum,
bottle,bottle,
lesson,laboratory mishap,
compensation,cost,
adverse event,performance information,
visitor,operation,
ALP scholarship,the ALP,
the finding,revise safety rule,
policy,the DoD,
foreign disclosure requirement,regulation,
mental health,any medical condition,
type,the file,
transportation,challenge,
the Merit Systems Protection Board,any forum,
the original award,thing,
a complete,a Service member IDES case file,
priority,factor,
Agency,any DoD organization,
ability,the work environment,
the use,shipment tracking device,
utility,support service,
industry,thing,
customer,all commercial entity,
DoDD,dodis,
gain,discrepancy,
any disciplinary,the incident,
interface,federal agency,
inspection,individual,
tool,resource,
presidential directive,procedure,
enclosure,this Directive,
the risk,relevant risk factor,
EPLOs,liaison personnel,
the role,military planning,
mpo,office,
lateral redistribution,stock,
warehousing,the food industry,
regulation,procedure,
the main funeral procession,NCR JOA,
the District,jurisdiction,
MDEH,material,
oversight,the DODIN,
pandemic disease,large scale population health threat,
responsiveness,factor,
service,personal effort,
skin rash,allergic reaction,
copy,processing,
the Secretary,DoD official,
social medium,electronic communication,
device,120 faulty equipment,
bilge slop,any oil content,
financial disclosure,order,
credentialing program,direct training requirement,
the town name,the near civilian community,
all manufacturing operation,circuit board,
those resource,operational use,
contact information,change,
tank,commodity,
credential,a photograph,
CMAN,single functional area assignment,
munition emergency,response action,
extension,enlistment,
home,external source,
Active Component,all DoD capability,
disposal,cycle,
sheet,internal security item,
administrative structure,characteristic,
broker,all commercial entity,
all matter,DoD atomic energy activity,
speed,consideration,
platform integrity,it device security,
weekend,a month,
security assistance office,foreign country,
designate employee,method,
the assessment,procedure,
Foreign Military Sales,organization,
liability,cooperation,
cost,factor,
BRAC,a military installation,
government credit card,purchasing tool,
valuable jewelry,property,
the town name,360 radius,
cellular telephone,the ICT infrastructure,
the OPM,an employer,
verification,service,
MDAS,material,
the Reserve,the entire Department,
any delay,the flight,
quality surveillance,effective fuel capability,
benefit,compensation,
radon,dangerous substance,
military,deceased personnel,
the effect,information,
contingency,DoD requirement,
DoD contractor,all DoD civilian personnel,
onion,seven fresh topping,
update,remote access,
these online training course,Engineers,
monitoring,pollutant,
representational duty,responsibility,
distribution,the supply chain,
criminal act,serious or repeated misbehavior,
room,word,
marche,music,
Tyvek,a solid front,
hour,factor,
require element,quarterly and annual report format,
special rate,overtime pay purpose,
magnesium cutting rod,temperature cutting tool,
security assistance activity,security cooperation,
system location,record,
identification,the OSN,
UAV,the air,
amputation,cause,
Procurement,separate reporting category,
committee report,requirement,
aircraft,installation,
personal cellular phone number,personal contact information,
disclosure,accounting,
good,fund,
sewer,utility service,
defense and service attachs,position,
statement,the grievance,
all element,developmental BMDS,
munition response,DoD military munition,
development,this instruction,
gasoline,temperature cutting tool,
school,medical source,
the purpose,electronic or write form,
total,study,
education transition,military life,
metal,work function,
vehicular damage,all associate lease cost,
any difference,discrepancy,
portion marking,classified message,
finding,the conclusion,
Air Force,the SAPR Program,
DoD,DoD personnel,
protective measure,community response,
glove,equipment,
technology lab,technology program activity,
troop building,facility,
finance,administrative and business application,
destruction,disposition authority,
news medium,any reliable source,
public information product,afn use,
all attempt,the record,
classify information,documentary material,
any rebuttal,record,
risk,event waiver,
search,civilian law enforcement activity,
original art,graphic art,
field,clothing item,
hearing,administrative review procedure,
criterion,response,
aluminum phosphide,solid fumigant formulation,
the target population,the area,
shoe,accessory,
ability,merit factor,
sexual assault,violent alleged crime,
correspondence file,legislative matter,
tissue,pathology waste,
a specific DoD Agency,the relevant DoD Component,
component,area,
date,information,
billing information,warranty,
spore,live organism,
alignment,the EM Program,
mt,civilian employee,
corrective action,public notification,
border patrol,issue,
task,the contractor and contract number,
earthquake,natural catastrophe,
high profile,initiative,
report,product,
post exchange,official outlet,
the plasma pseudocholinesterase,the enzyme activity level,
laboratory support,related service,
the DISN,the JIE,
horn,faulty equipment,
the waste type,information,
highway,DoDs infrastructure,
Equipment,a statement,
education,a country,
associate internal and external record,personnel,
technical datum,commodity,
directive,directive,
utility trailer,item,
DoD Component enclave,the DISN,
official,document,
ACAT IB program,all mdap,
capability,DoD,
bullying,discrimination,
spinach leave,50 percent dark green leave,
employment,student,
the identification,intelligence capability,
movement,DPAA operational requirement,
grass,naturally occur fuel,
photographic evidence,place,
the reason,the waiver,
flood,disaster,
military operation,DoD workplace,
bromine,a halogen,
the cost estimate,that order,
the DoD IACs,the DoD repository,
the Service member,time,
federal executive agency,excess property,
section,applicable law,
international agreement,element,
data set,research finding,
passive RFID,automatic identification technology,
enterprise,a minimum,
aviation fuel,product,
all evaluation,the hearing,
disconnection,threat activity,
vendor,all party,
fast track assignment,initiative,
cable tv,Telecommunications line,
duty title,exposure,
facility,satcom resource,
cyber security,specialty engineering function,
missile,the conventional military munition,
assessment,AoA oversight,
repair,remote access,
proration impact,where rule,
graph,supplemental material,
earthquake,a single incident,
facility,property,
ln,civilian,
adequacy,item,
ESACC,spend material,
technical content,program definition,
testing,educational service,
DoDI,issuance,
datum,PHR,
pattern,all applicable technical datum,
provision,countermeasure,
DoD 5400,regulation,
a call,consideration,
preservative material,protective measure,
RSM,time,
beverage,service,
cyber,focus area,
orgasm,arousal,
the public,the environment,
funding,FVAP,
the extent,the soil,
MPE,all DISN capability,
fluid,potentially infectious material,
U,the United States,
potential coalition partner,a typical joint operation,
any work,child,
MA objective,MA goal,
cohabitant,family,
risk acceptance,planning and implementation activity,
engagement,amphibious operation,
fund,related information resource,
the Pan American Games,international sporting event,
college degree holder,high priority,
all deployment,addition,
the redevelopment plan,an application,
review,this instruction,
time,risk factor,
use,IA procedure,
compensatory service,the child,
Base Realignment,a military installation,
GPS,DoD PNT system,
tolerance,dimensional and functional interchangeability,
channel,waterway,
partner capacity,mission,
the retention,the United States,
the name,this instruction,
the gca,final authorization decision,
headquarters,any DoD organization,
user request form,CATMS,
firefighting,practical consideration,
DoD family,DoD personnel,
the wound warrior program,time,
exchange,support facility,
the example,privacy risk,
wire mesh,barrier,
fiscal constraint,objective,
bushing,Control measure,
budget,support YRRP,
cleaning,protective measure,
commercial system,Interfaces,
calculation,document,
a binder,a fuel,
the Global Health Security,health protection and health security relate issue,
performance evaluation,administrative power,
a professional degree,qualification,
Defense Health Agency,issue,
emergency,HN partner,
cafeteria,food service venue,
documentary,government entertainment medium production,
type,information,
control activity,narrative,
fabrication,mean,
work,government,
DSS,capability,
the use,action,
current job listing,relevant labor market information,
certificate,exemption,
the Combatant Commands,the CJCS,
U,state aircraft,
research,technical and analytical assistance,
propellant material,AE,
equipment,resource,
leather,work function,
impact,position,
appropriate export control warning,inspection,
family,time,
job search or residence search activity,relocation activity,
supply chain risk,identify risk,
modeling,operation,
current and future automate information system,the DoD PM enterprise,
loss,fund,
the component,time,
any foreign military,person,
CA certificate,the DoD ECA program,
cost and performance risk,factor,
a gymnasium,facility,
clothing,end item,
vehicle,platform,
book,public medium,
logo polo shirt,uniform,
nlws,than deadly force,
acquisition,defense and intelligence space activity,
assistance,medical support,
execution,arm control agreement,
syrinx,Sharps,
consumer,vapor intrusion,
performance,merit factor,
pain,normal functioning,
denial,all authorization decision,
two control material,each quantitative procedure,
expiration,datum accuracy,
network,PITs,
the geographic CCDR annual forecast,SFA,
any personal identifier,change,
certification,that order,
civilian employee,DoD civilian personnel,
clothing,item,
the date,technical order,
write waiver,administrative responsibility,
EEP referral,merit staffing process,
project,Oversees DDS operation,
brass,nonferrous metal,
claim,States,
explosive,the energetic material,
breast,chest wall surgery,
information,or contractor resource,
who,all personnel,
the cause,time,
the authority,law and Executive order,
personnel,all require resource,
protection,task,
the opening,mail,
the application,the record,
information,ISP,
tenant,those facility manager,
the infrastructure,the MHS,
copier,equipment,
correspondence,all write information,
DoD civilian,every level,
concentration,the cost estimate,
a member,the Military Services,
malicious or incompetent authorize user,internal threat,
the publication,appropriate mean,
type,action,
officer,class,
pumping,operation,
personnel,resource,
hunting,public recreational opportunity,
heat input,parameter,
resource,support YRRP,
allowance,cost,
repair part,any equipment,
DSCA,the DoD global,
classification,this enclosure,
preparedness,public health and medical DSCA support,
preventive maintenance inspection,the manufacturer specification,
hazardous material,preparedness,
executive,area,
equipment selection,engineering principle,
volume,the circumstance,
ejaculation,arousal,
the requirement,eligible NG member,
affidavit,the judicial process,
basing,capacity,
programming,joint project,
information,the request,
medical record,information,
a telephone number,information,
any provision,an exist obligation,
railway,DTS infrastructure,
the courier,country,
preparatory step,this instruction,
the Geospatial Platform,the federal datum sharing environment,
control system,item,
section,the information,
civilian personnel,establish facility,
antiterrorism effort,public safety capability,
language immersion,opportunity,
material,nature,
the Active,the Air Force,
service,FAPE,
mode,Vice President,
the name,this issuance,
business case analysis,Establishes mechanism,
the use,business,
a black eye,minor injury,
hangar,facility,
linear bar code,carrier technology,
mask,equipment,
NSS,IT,
,State official,
sealift,DoDs infrastructure,
transfer,active duty,
TA counseling,educational service,
the Olympic Games,program,
adherence,airport,
who,anyone,
the bar,the relevant fact,
administrative remedy,Hotline,
use,record,
acquisition,DoD functional area,
bulletin,directive,
research,a systematic investigation,
the full life cycle,supply,
country and theater clearance,requirement,
intelligence special,compartmentalization,
bullet,symbol,
exemption,this enclosure,
public land,the United States,
functional vision,Physical development,
a recommendation,review,
master,detention operation,
a funeral service,JOA,
accessory,athletic uniform,
maintenance organization,level,
lump sum,o Retirement planning,
status report,surveillance documentation,
right,the IDES process,
FEMA,agency,
the authority,this enclosure,
deduction amount,dollar amount field,
pandemic disease,major health threat,
sexual or excretory activity,nudity,
lead styphnate,explosive,
policy,Medical Preparedness,
Restricted Data,marking,
the nature,factor,
saving,subject,
the United States,any country,
pier side,overhaul,
fit restriction,critical feature,
the use,groundwater contamination,
lease space,the DoD,
WMM,waste,
mode neutral solution,good practice,
education,development activity,
DoD,document,
raw material,all item,
family housing,the DoD Components,
overage,surplus serviceable item,
humanitarian assistance,nontraditional mission,
the associate platform information,and commercial and utility infrastructure,
the collection,public health surveillance activity,
TSN CC,inventory item,
mishap,DoD vessel,
hurricane,adverse weather condition,
military aircraft,all aircraft,
fire,disaster,
chaplain,family,
all response,Intelligence report,
Canada,America,
honor,core belief,
automobile,insurance coverage,
return,postage,
Federal,internal and external stakeholder,
a performance award,than one monetary award,
mirror,faulty equipment,
system security,issue,
military,capacity,
vendor identification,capability,
duration,table entry,
availability,enclosure,
testing,a systematic investigation,
augmentation contract,pest management contract,
expiration datum,all exist caa permit,
enterprise network datum,service,
conservation,environmental management,
the password,the victim profile,
core hour,80 hour,
Air Force,the SELRES,
the DNI,the OGA head,
the United States Coast Guard,department,
software,ICT,
feature motion picture,government entertainment medium production,
analysis,effect,
use,Limited communication support,
solid waste,a minimum,
security,consideration,
insignia,thing,
toy,item,
network,or contractor resource,
datum output,issue,
user,procure agent,
nuclear command,critical enabler,
expeditionary,award,
bowling resale,service,
NDMS exercise,NDMS,
note,note,
community,a setting,
system software,training,
facility,resource,
maintenance approach,strategy,
evaluation,service,
commander,that local community,
secretarial review,30 day,
specimen,transportation,
financial or management information,contract administration,
equipment,space,
a school,organization,
operation sequencing,engineering principle,
record,additional information,
any recommend action,FFRDC performance,
foreign medical capability,issue,
core jmet,mef,
biological or chemical wmd,WMDs,
DoD issuance,document,
a lack,factor,
the DoD Education Activity,DoD activity,
coastal barge,delivery mode,
specialist,team member,
datum,topic,
civilian,military medical treatment,
threat,risk factor,
Federal Emergency Management Agency,agency,
datum interoperability,logistic data management,
a lower ability,personality change,
Joint Staff policy,the DoD,
letterhead,Assure printing service,
the DoD CFREP,military food service program,
academic advice,educational service,
a delivery delay,information,
criticism,measure,
DoD contractor,all deceased or miss DoD civilian personnel,
leak repair,all repair,
alcohol,drug,
causal linkage,the future,
location and threat information,pertinent information,
installation,management,
an itemize cost breakdown,the spill response,
education,DoD mission activity,
basin,manufacturing area,
number,the EFMP,
presidential transportation,White House function,
major disaster,incident,
weekday,the month,
the Directors,component,
chemical,material,
the Army Reserve,the SELRES,
use battery,the military exchange,
the name,information,
ethical issue,challenge,
career,authorize appointment,
motor pool,activity,
the certification,asset,
property,environment,
dodhra,issue,
laser activity,the CJCS,
IUS,information system,
technical datum,DoD possession,
agricultural clearance,matter,
sensitivity,discrepant materiel,
asset,7D,
UII,require data element,
major contracting action,agency,
associate cadet,opportunity,
provisioning,management,
chemical,DSCA activity,
bronze,sparking metal,
UFC,applicable design criterion,
support equipment,site specific long lead item,
subcontractor,the supply chain,
retirement,or nuclear energy,
preventive medication,recommendation,
the review,all legal matter,
daily inventory processing,the DFSP,
fact,joint force global action,
OpsDeps,adjudication,
classification,procedure,
civilian law,dod person,
maintenance,service member,
suicide,all active duty death,
scope,Construction and renovation plan,
PSC personnel,all contractor,
installation restoration,site,
the prevention,domestic counterterrorism policy,
RRP,coordination,
agreement,key enabler,
sexual harassment,problematic behavior,
facility design,engineering principle,
tape device,peripheral device,
a pipe,the air,
medical or dependent care,expense,
CQA,related service,
a human subject,member,
the cost,civilian source,
qualify event,international amateur sport competition,
judge advocate,appropriately skilled professional,
company,material,
sand,soil,
an executive,reconsideration,
the application process,time,
private sector community,certify child care provider,
asset criticality,risk factor,
mandrel,Coating metal surface,
impulse control,personal skill,
light weapon,excess DoD property,
the DHS NOC,agency,
closure,and installation,
the subject line,the message,
retire personnel,the Armed Forces,
stage,individual major missile component,
who,an unmarried child,
training area,appropriate location,
the Administrative Judge,additional time,
program,related security cooperation,
the facility lobby,highly visible area,
equipment,the core phase,
the Coast Guard,service,
the rationale,the select remedy,
security assistance program,DoD security cooperation,
construction,all service contract,
supply chain management,the food industry,
gas,utility service,
light,faulty equipment,
defective exhaust,faulty equipment,
violence,coercive technique,
cybersecurity measure,the future DoD IE,
passive radio frequency,AIT,
arrival,NCR JOA,
equipment,Deploy agency capability,
integrity,core belief,
prescribe drug,inventory item,
technical support,remote access,
DoDI,all DoD policy,
vehicle,common type item,
delegation,factor,
conversion,excess uh,
a theater posture plan,a posture plan,
engine,major miss or reclaim component,
maintenance,functional area,
spp planning conference cost,approve SPP activity,
professional supervision,control,
acquisition,facility,
building,facility,
resource,component,
facility,category a lodging activity,
software,program protection,
DoD Component cost estimate,all relevant cost estimate,
technical datum,capability,
employment,goal,
violation,rule violation,
installation action,Local authority notification status and response activity,
assistance,financial service,
student,channel,
separation,administrative action,
office symbol,the waiver,
DoD,the DoD IE,
maintenance,DoD materiel maintenance,
bulk collection,operation,
the PA planning process,DoD PA,
global restationing requirement,a military installation,
whether the medical condition,command,
procedure,planning document,
ally system,weapon system,
safety,community response,
tenant activity,each commodity,
ultimate property disposal,administration,
a process,application,
nonappropriate fund activity employee,Defense,
solid waste,an orc,
personnel repository,DoD data system,
pit system,the IT,
passport,document,
use,this regulation,
it,related information resource,
an explanation,recommendation,
dissemination,intelligence activity,
fatigue,clothing item,
manifestation,esophageal stricture,
template,requirement,
case management,datum,
silencer,Accessories,
cerebral palsy,cause,
finding,the review,
cyber survivability,cyberspace requirement,
the Federal PIV card,DoD information system,
the conclusion,a uniquely military occasion,
those member,service member,
integration,project,
draft,document,
admonition,measure,
equipment,force materiel,
coordination,the Program,
applicable standard,DoD property,
a Defense Energy Support Center representative,or hazardous substance spill,
protocol,unexplained worker absence,
oversight,the Regional Centers,
victim,victim,
concert,social event,
staff,the DoD Component enclave,
research,DoD organization,
death,event,
an HRM es capability,time,
propellant,AE,
all active and reserve cyber operation force,the DoD,
telephone,the DPAS officer directory,
a final accounting,financial and audit datum,
information,claim processing,
munition response action,DoD military munition,
require reporting,USPI,
removal action,response action,
audio,file,
activity,SC activity,
database,file,
the DoD Intelligence IS,SCI system,
sexual assault,behavior,
access,privilege,
protective personnel clothing,uniform,
Chemical Agents,Toxicological Agents,
molding,trade,
shipment,event,
commission,service,
food,individual emergency preparedness,
pectus excavatum,dysfunction,
the possibility,action,
bond,negotiable instrument,
petroleum bag,temporary container,
land,domain,
the seriousness,reason,
all unit,the DoD,
DoD Component enclave access point,DODIN,
the severity,variable,
any alternative action,operation,
cook,Support,
program,component,
all suicide,DoDSER reporting,
related service,the idea,
compliance,issuance,
munition emergency response specialist,personnel,
safety,matter,
virus,harmful microorganism,
family member,the total population,
range scrap,eligible recyclable material,
archival function,STI service,
deers,association,
guidance,information,
advertising,personal financial gain,
public school,public school,
development,resource materiel,
the determination,complaint,
web site,private and public medium,
reporting,a specific medical protocol,
regional center,initiative,
contact,ongoing and active case management,
bus and rail station,transportation point,
meal price determination,function,
Defense Agencies,organization,
street centerline,a geospatial feature,
who,victim,
access road,facility,
joint acquisition program,training,
each calendar year,1 day,
disability,IDES appointment,
military,civilian,
embed graph,briefing slide,
operation,cost,
organ donation,any surgery,
adjunct,instructor,
education,prevention and response program,
bloody nose,minor injury,
U,Designated Active and Reserve Component military personnel,
NSS,IT acquisition,
the name,this procedure,
cost reduction,efficiency improvement,
geographical separation,reason,
group,everyday life,
use,DoD Components,
guidance,authorize SPP activity,
fund,item,
a determination,service,
DoD contractor,all personnel,
small arm,excess DoD property,
the impact,each 1 year assessment,
the FBI,the critical asset,
embezzlement,deceptive or illegal financial practice,
word,word,
the datum entry,the acquisition workforce,
goal assignment,SBP goal,
component,security,
swim pool,facility,
a bag,a receptacle,
an inspection,time,
tps,DDESB issuance,
what,the area,
HA,GHE activity,
a classify attachment,classified system,
nurse,medical training,
boundary protection measure,deploy CDSs,
the review,AoA oversight,
the record,the afrh,
insider threat,request,
discussion paper,work product,
video,material,
authorization,the Joint Staff,
liner,the containment system,
physician,medical training,
transfer,digital form,
tremolite,mineral silicate,
cross,contamination,
accountability,this issuance,
financial datum,the DoD,
biopsy needle,Sharps,
masking,technique,
TSN CC,CII,
creation date,attribute,
acquisition planning,support function,
a physical address,Geographic location information,
round timber,wood,
preventive care,health service,
statement,the DoD,
require data element,commerce,
affidavit,case file information,
pipeline,commodity,
logistic,program,
deploy location,DoD,
unauthorized disclosure,serious security incident,
the Equal Employment Opportunity Commission,any forum,
reactor vessel,large facility component,
EMP,initial nuclear weapon effect,
refresher training,requirement,
DoD,the Military Services,
interim control,various method,
speaker,military support,
datum,specific item and item population,
budgeting,subject,
the potential,factor,
demolition,excess uh,
eligible member,eligible member,
OPCON,relation,
disk device,peripheral device,
whole number,a number,
guidance,instruction,
regulatory approval,the permit,
inflation factor,the summary datum,
furunculosis,Persistent or recurrent symptomatic cyst,
facility operation,joint project,
waste management decision,contractor,
II,designation,
the Office,investigative service provider,
safety,program,
episodic television program,medium production,
communication activity,Vice President,
geographic location,relevant demographic datum,
the FBI,Justice,
map,public disclosure geospatial information,
an overview,EM Program policy,
Survivor Benefit Plan,o Retirement planning,
virus,blended threat,
use,vulnerability,
schedule,environmental restoration phase,
financial status,characteristic,
the design,issue,
reference,relevant policy,
school,initiative,
TRICARE,military benefit,
lethality,supportability,
extremely high and high mitigate risk factor,RMT event,
aids,marine safety,
HMIRS,information source,
proper use,OEH control,
bag handler,capacity,
cutlery,household good,
distribution,USSOCOM,
physician assistant,medical training,
name,pmpar,
pad,manufacturing area,
plan program requirement,nonrecurring demand,
materiel,the contract,
medical assistance,federal entity,
DoD Instruction,classified information,
frequency clearance,training range,
percentage,a number,
a workforce member,the cover entity,
military,military operation,
annex,word,
business,STRIPES,
physical isolation,special consideration,
program review decision,programming,
Marine Corps civilian employee,this enclosure,
the National Incident Management,civilian authority,
future expenditure,subsequent protection requirement,
donation,ensure transfer,
income taxis,deduction,
nursery school,program,
electricity,utility service,
carrier,cargo,
support,support,
deploy area,all location,
orc,operational range,
MWN system,multiple pathway,
building,mission,
calculator,equipment,
combat operation,military operation,
crocidolite,mineral silicate,
National Security Systems,all current and plan DoD IT investment,
personnel strength,the operational support program,
guideline,education and training policy,
DoD,structure,
disposal,or nuclear energy,
tactical and strategic patient,medical care,
financial reporting,management system,
lawyer,professional,
rotation,purchase,
rodenticides,desiccant,
screening,recommendation,
line,an EFAC staffing structure,
volume,classified information,
insurance,subject,
who,member or Committee staff,
estane,plastic binder,
OCONUS,all deceased or miss DoD civilian personnel,
event,afn broadcast purpose,
testing,USSOCOM,
bodily excretion,pathogen,
Administrative,every Committee meeting,
enhancement,the software,
content,experience,
health risk,the shipment,
the subcategory,moderate complexity,
the submit activity,CMD recipient,
SAP information,all classified information,
outcome,improvement activity,
pom submission,DoD Component ERA and BRAC account programming,
retention and destruction requirement,detail,
information,abuse,
payroll,administrative and business application,
logistic,activity,
the requirement,procedure,
the United States,country,
aircraft,the DoD Components,
the GED,a test,
judge advocate,legal counsel,
block upgrade,major program change,
MDAS,MD,
fungicide,desiccant,
the item,time,
treatment pond,treatment system,
guest bedroom,official entertainment,
COMSEC,all equipment,
system,test strategy,
release,the organization,
subassemblie,aircraft,
