,hyponym,hypernym
1352,an estimate,any remain threat
1353,responsibility,functional oversight
1354,salary,service
1355,fiscal constraint,objective
1356,national emergency,DoD requirement
1357,activity,service
1358,website,collaborative tool
1359,structure,facility
1360,model,release
1361,limit,appropriate safeguard
1362,travel,1 day
1363,the rationale,remedy
1364,relate land,family housing
1365,approval,tracking
1366,copy,information
1367,any comment,clinical review panel
1368,quarter,installation facility
1369,the Service member,complete service treatment record
1370,service dog,service dog
1371,DoD family,DoD personnel
1372,protection,protective service
1373,regulation,regulation
1374,provision,the Members dependent family member
1375,Alaska,America
1376,sexual harassment,discrimination
1377,channel,waterway
1378,a military aircraft accident,a single incident
1379,the Reserve Components,the Air Force
1380,postage rate,mailer
1381,domain file share,DoD network resource
1382,vacancy announcement,personnel notice
1383,countermeasure,countermeasure policy
1384,special requirement,the DoD supply chain
1385,manuscript,political pursuit
1386,a layer,trench
1387,the need,the nomination package
1388,material,all ACM
1389,acting,field
1390,an erection,arousal
1391,sensitivity,discrepant materiel
1392,preparedness training,installation
1393,certificate,Identity Protection Management Senior Coordinating Group
1394,china,household good
1395,fire party,honor
1396,muffler,Accessories
1397,a workforce member,the cover entity
1398,whom,a civilian employee
1399,practice,the future DoD IE
1400,decision,system
1401,issue,effective fuel capability
1402,GSA schedule,purchasing tool
1403,retirement,or nuclear energy
1404,phlebotomy,laboratory testing
1405,use,or nuclear energy
1406,part number,information
1407,emergency permit,appropriate RCRA permit
1408,delivery,the detention facility
1409,issuance,decision
1410,pier side,overhaul
1411,case administration,investigation
1412,corrective action,public notification
1413,wool,static generating stocking
1414,information,communication
1415,forest,naturally occur fuel
1416,EOD,the explosive or munition emergency response specialist
1417,major disaster,incident
1418,name,certify official
1419,major repair work,conversion
1420,the identification,dependent system
1421,hazardous material,preparedness
1422,light,faulty equipment
1423,consideration,source
1424,cost sharing,funding guidance
1425,application,software
1426,bronze,sparking metal
1427,tattoo,mark
1428,employee,all individual
1429,issue,associate document
1430,supply support,asset
1431,speaker,military support
1432,DoDEA,DoD employer
1433,oil,the military exchange
1434,the uniform guideline,regulation
1435,software,Information
1436,social medium platform,the medium
1437,current workforce requirement,criterion
1438,electric,utility distribution system
1439,the World,external partner
1440,website,document
1441,sealift,DoDs infrastructure
1442,the installation,medical stakeholder
1443,CPR,first aid treatment
1444,the associate platform information,and commercial and utility infrastructure
1445,crisis response,amphibious operation
1446,instruction,a disability
1447,designation,instruction
1448,protozoan,microorganism
1449,all modification,journal publication
1450,medium,medium
1451,military morale,the service
1452,continuity,and approve training requirement
1453,magnetic tape,any datum
1454,instruction,the osc
1455,procedure,operation security requirement
1456,leather,work function
1457,specialist,team member
1458,cyber threat assessment,product
1459,operation,activity
1460,hurricane,adverse weather condition
1461,quality representative,functional element
1462,religious ceremony,culturally specific circumstance
1463,electronic mechanism,destruction
1464,National Security Systems,all current and plan DoD IT investment
1465,the limitation,each Limited FCL
1466,summer student,temporary employee
1467,counselor,the EEOP staff
1468,service,fund
1469,WMD terrorism risk,WMD risk
1470,military force tracking system,tactical edge emitter
1471,infrastructure,the CBRN mcr
1472,risk management methodology,area
1473,benefit,compensation
1474,conversion,any mean
1475,memorandum,vehicle
1476,adjudication,the NSEP service agreement
1477,video recording,graphic art
1478,the Combatant Commands,the CJCS
1479,all suicide,DoDSER reporting
1480,appliance,foreign area
1481,problem intervention,health service
1482,income taxis,deduction
1483,member,the uniformed service
1484,chlorine,a halogen
1485,treatment,utility
1486,secure room,storage container
1487,audio,graphic art
1488,disestablishing,matter
1489,submission,the SE program
1490,safety,community response
1491,submarine,defense mission
1492,reimbursement requirement,DoD policy
1493,engineer,the DoD
1494,the internal audit plan,deca internal control program
1495,application,critical feature
1496,plan,strategic plan
1497,bag handler,capacity
1498,blade wipe brush,additional chip removal equipment
1499,activity,YPs
1500,repair,conservation method
1501,stationery,minor value
1502,substantial participation,activity
1503,the U,system
1504,machine,work function
1505,the primary CE,the IG
1506,electricity,energy supply
1507,agency sign,Pentagon
1508,the SES member,pertinent material
1509,DBS,business activity
1510,a description,budget guidance
1511,the National Oceanic,program
1512,reparable component,supply
1513,the battle management command,capability
1514,ordnance handling equipment,ground item
1515,system,management system
1516,rental car,cost
1517,technical datum,commodity
1518,information,or contractor resource
1519,facility,asset
1520,waiver authority,requirement
1521,cargo compatibility segregation,security concern
1522,cap,AWF position
1523,chaplain,family
1524,Marine Corps civilian employee,this enclosure
1525,a medal,no military decoration
1526,cost and performance risk,factor
1527,human capital,support YRRP
1528,warrant officer,any active duty Regular or Reserve military officer
1529,capital investment,this service
1530,special act,personal effort
1531,interpreter,a detainee
1532,the criterion,a minimum
1533,personnel,Deploy agency capability
1534,ETP request,the CJCS
1535,the plasma pseudocholinesterase,the enzyme activity level
1536,in which child,a setting
1537,remedial action,response action
1538,system location,record
1539,temporary denial,disincentive
1540,the cost,civilian source
1541,energy supportability,energy factor
1542,functional level,chain
1543,initiation,security incident
1544,K Monel,sparking metal
1545,enterprise service management,multiple service layer
1546,cleaning,work function
1547,the circumstance,service member fitness
1548,the preparation,FMS transfer
1549,port,waterway
1550,the processing,this instruction
1551,development,this instruction
1552,table,datum
1553,video,file
1554,meal,activity
1555,5 year,service
1556,the acreage,an MRA
1557,software,ICT
1558,a general statement,the serious health condition
1559,computer system resident,the system
1560,datum,intangible property
1561,status report,surveillance documentation
1562,compensation,cost
1563,the etiology,the four PHEIC criterion
1564,procedure,the inventory
1565,concession,food service venue
1566,any variation,Inventory discrepancy
1567,storm runoff event,circumstance
1568,the Secretary,period
1569,power,amphibious operation
1570,the authority,this enclosure
1571,munition,support and C2 function
1572,benefit,personnel
1573,interpretation,result
1574,water,utility service
1575,cybersecurity requirement,the DODIN
1576,hangar,facility
1577,increase demand,address climate change impact
1578,those measure,authorize user
1579,maintenance,materiel readiness
1580,contact,DoD missions
1581,potential coalition partner,a typical joint operation
1582,HMIRS,information source
1583,emergency care,comprehensive medical and psychological treatment
1584,newspaper,public medium
1585,duty,active duty status
1586,complaint,harassment complaint
1587,insecticide,desiccant
1588,all military personnel,the DEERS database
1589,removal,information
1590,voice,technology
1591,shipment,event
1592,PNT service,the DoD PNT Enterprise
1593,GPS,PNT system
1594,contracting action,program activity
1595,pest control,certify official
1596,tenant,activity
1597,tip,compensation
1598,any negative impact,the waiver
1599,facility,all site
1600,operation,this service
1601,member,gender dysphoria
1602,responsibility,planning document
1603,conductive rubber,sparking material
1604,weapon,weapon
1605,sustainment management team,activity
1606,field maneuver,military
1607,violation,rule violation
1608,loss,fund
1609,tolerance,dimensional and functional interchangeability
1610,a justification,that determination
1611,the establishment,the foreign government
1612,facility,master space planning
1613,all plan increment,procurement
1614,component,munition
1615,social worker,medical source
1616,the personnel office,support facility
1617,partner capacity,mission
1618,ln,contractor personnel
1619,ultimate disposal,ensure transfer
1620,both print,mean
1621,administrative remedy,Hotline
1622,cost,activity
1623,guidance,review process
1624,gyro,attachment
1625,attrition reserve,the entire system inventory
1626,the CM Certification Program,education
1627,design,materiel
1628,daily inventory processing,the DFSP
1629,hazard,risk management report
1630,resource,related security cooperation
1631,landline phone,personal contact information
1632,suggestion,information
1633,a building polygon,a geospatial feature
1634,a delivery delay,information
1635,clerk,Support
1636,adequacy,posture
1637,mold,Coating metal surface
1638,acquisition,activity
1639,glassware,household good
1640,counseling,medical treatment
1641,camouflage,trade
1642,personnel,category
1643,time,current inspection status
1644,quarantine,border clearance requirement
1645,the CPI sponsor,the CPI effort
1646,potential,the distribution plan
1647,satellite transponder,shipment tracking device
1648,maintenance,production
1649,educational institution,dod research institution
1650,title,a record identifier
1651,the United States Coast Guard,department
1652,common interface,share enterprise service
1653,training,establish uniform professional qualification
1654,dissemination,the evaluation
1655,furnishing,item
1656,drawing,all applicable technical datum
1657,those resource,operational use
1658,mode,Vice President
1659,sand,soil
1660,barrel,a receptacle
1661,commission,service
1662,employee,commercial agent
1663,process,DDESB issuance
1664,physical condition,component
1665,access permission,that datum security requirement
1666,canteen worker,appropriate fund instrumentality
1667,port,DoDs infrastructure
1668,slat armor,part
1669,authority,the FACA
1670,the protection,plant health
1671,fire,matter
1672,an executive,reconsideration
1673,cost,program definition
1674,program,Pentagon Reservation parking policy
1675,mission impact,challenge
1676,territorial sea,area
1677,IUS,all DoD IT and information system
1678,extrication,rescue operation
1679,the Army Reserve,the SELRES
1680,both medical circumstance,compelling circumstance
1681,certificate,the Identity Protection Management Senior Coordinating Group
1682,a pin or biometric input,factor
1683,reduction,thing
1684,chromium,heavy metal
1685,ration,service
1686,job elimination,action
1687,evaluation,USSOCOM
1688,CA certificate,the DoD ECA program
1689,schedule effectiveness,DoD materiel
1690,DoD,structure
1691,rough note,document
1692,military attack,any occurrence
1693,export authorization,export process
1694,decision,the Defense Acquisition System lifecycle
1695,hardware,program protection
1696,stream,manufacturing area
1697,the DISA,the DODIN
1698,safety,concern
1699,contract personnel,the FTDTL
1700,the applicable international agreement,factor
1701,troop building,facility
1702,process,training aspect
1703,direction,ethic guidance
1704,agent,public agency
1705,topic,child care
1706,II,designation
1707,control,personnel
1708,use,Limited communication support
1709,food,service
1710,valuable jewelry,property
1711,refresher training,requirement
1712,trojan,blended threat
1713,engineer,personnel
1714,the Geneva Conventions,war
1715,mission rehearsal,operation
1716,length,work force
1717,test equipment,resource
1718,the resourcing,support requirement
1719,military,all personnel
1720,the board,inquiry
1721,hydrofoil,water
1722,Biological Agents,Toxicological Agents
1723,notification,simple process action
1724,shipment,relocation assistance
1725,Combatant Command,policy priority
1726,attendance,law
1727,virus,blended threat
1728,maintenance,functional area
1729,record,this issuance
1730,incarceration,mean
1731,design,the laser system life cycle
1732,relationship,the GAO
1733,TRICARE contractor,contact
1734,permanent technical assistance field training position,foreign country
1735,ethic,HSR
1736,authorization,the Joint Staff
1737,USG agency employee,DoD civilian and contractor support employee
1738,prescribe drug,control inventory item
1739,invoice,verifiable record
1740,procurement program,all IT
1741,the military,Defense
1742,Foreign Military Sales,security cooperation program
1743,treatment pond,treatment system
1744,mpo,office
1745,nitrogen,special gas
1746,the conduct,this Directive
1747,student,performance result
1748,range scrap,eligible recyclable material
1749,an SES position,another government position
1750,communication system,capability
1751,pectus excavatum,dysfunction
1752,EEP referral,merit staffing process
1753,url,contact information
1754,time,risk factor
1755,flood,disaster
1756,DoD civilian,the organization
1757,request,function
1758,enterprise service,all IT
1759,hurricane,a single incident
1760,host nation,component
1761,contractor employee,applicant
1762,volume,the circumstance
1763,DD Form,relevant document
1764,functional oversight,program
1765,response,civilian law enforcement agency
1766,the U,each respective Military Service
1767,service member option,the IDES process
1768,service member,DoD personnel
1769,physical security,program
1770,the state purpose,one CMT
1771,affidavit,the judicial process
1772,status,applicable international agreement
1773,hypodermic needle,Sharps
1774,the United States Coast Guard,Military Departments
1775,enhancement,the software
1776,group,everyday life
1777,any change,the JSWSR
1778,installation action,Local authority notification status and response activity
1779,use,UII requirement
1780,financial reporting,management system
1781,judgment,government
1782,invoice,document
1783,telephone,the DPAS officer directory
1784,security clearance,the SCO
1785,recommendation,official purpose
1786,two control material,each quantitative procedure
1787,simulation,operation
1788,ig,a Military Department
1789,ELOs,management training
1790,law enforcement,military first responder
1791,cybersecurity measure,the future DoD IE
1792,fit,dimensional and functional interchangeability
1793,materiel management,logistics function
1794,operation sequencing,engineering principle
1795,crisis,policy and program activity
1796,funding responsibility,a lead Military Department
1797,the Senior Leader,response
1798,MSDS,information source
1799,the date,technical order
1800,the assessment,recommendation
1801,protective mask,personal protective equipment
1802,cafeteria,food service venue
1803,satellite,mediate instruction
1804,deployment health support,contingency base support
1805,force structure,resource
1806,alert,directive
1807,risk assessment,case management
1808,decoy,application
1809,identification,review
1810,deployment,all military operation
1811,location,the CUI Registry
1812,assistance,office
1813,special operation,force
1814,business enterprise integration,program
1815,regular monitoring visit,the order
1816,copy,processing
1817,training assistance,CATMS
1818,DoD Directive,regulation
1819,DoD,the Military Services
1820,billet,node
1821,action,measure
1822,batch size,factor
1823,NSS,all IT investment
1824,member,Military Service personnel
1825,performance,factor
1826,analytic,service
1827,marche,music
1828,any lease facility,the DoD
1829,annual active duty,the Reserve Components
1830,the mutilation requirement,a minimum
1831,aerobatic demonstration,community relation
1832,the establishment,library
1833,a telework center,approve alternative worksite
1834,badge accountability,topic
1835,office space,a DoD installation facility
1836,hunting,public recreational opportunity
1837,adverse action,appropriate action
1838,supply class,material master datum
1839,news medium,any reliable source
1840,Service tmr,template
1841,IHE,the weapon
1842,the Military Exchange Services,all nonappropriate fund instrumentality
1843,oxygen cut torch,temperature cutting tool
1844,help,activity
1845,storage,topic
1846,research,all technical document
1847,region,a geographical location
1848,maritime academy,educational activity
1849,database,office automation package
1850,scrap,200 pound
1851,foreign country,place
1852,accident,insurance coverage
1853,Canada,America
1854,DoD support,nuclear weapon system
1855,the Trust Territory,the United States
1856,transportation,challenge
1857,magnesium,metal
1858,scripting,production
1859,management,transportation mode
1860,admonition,corrective measure
1861,the graphic art,field
1862,the notice,the original application
1863,wind,weather
1864,the potential impact,factor
1865,collaborative training,procedure
1866,the target population,the area
1867,encryption,protective measure
1868,a complete review,all disability examination
1869,service use,the DODIN
1870,the DoD Education Activity,DoD activity
1871,the North Atlantic,DoD
1872,rototiller,item
1873,legacy document,all classify document
1874,special purpose,clothing item
1875,IC policy,broad authority
1876,supervisory or fiduciary role,employment
1877,demolition,offense
1878,any Federal Executive Agency,an employer
1879,bank,financial institution
1880,SATCOM,space capability
1881,logistical support,resource
1882,a summary,promotion
1883,storyboard,item
1884,health risk,the shipment
1885,malicious or incompetent authorize user,internal threat
1886,flashlight,individual emergency preparedness
1887,development,DoD acquisition program
1888,training exercise,emergency response support
1889,sharing,risk
1890,photographic evidence,place
1891,DEMIL plan,documentation
1892,the geographic combatant,the appropriate DoD Components
1893,distribution,product
1894,classification,the Components information security program
1895,basis,basis
1896,procedure,procedure
1897,the cause,the FY
1898,near miss,AE
1899,any party,a person
1900,disk device,peripheral device
1901,emergency transport,the software
1902,planning,Combatant Commanders
1903,theft,a crime
1904,the OFSC,formalism
1905,Enterprise Email Security Gateway,all DoD Components
1906,treatment status,information
1907,all relevant information,the case file
1908,ALP scholarship,the ALP
1909,explosive residue,munition
1910,reference,regulation
1911,network,asset
1912,the status,meeting
1913,control substance,reagent
1914,welding,work function
1915,a result,location
1916,DoD,DoD personnel
1917,the issue paper,exist tool
1918,help,system operation activity
1919,the testimony,SRA
1920,munition emergency,response action
1921,official Government customer,imagery
1922,implementation,an RCC
1923,cyber and defense support,and CJCS guidance
1924,the propose FEML relief destination,DoD Components
1925,official logo,graphic
1926,guidance,DSCA operation
1927,wholly inert component,related material
1928,exercise,civil sar function
1929,the retrieval,issa
1930,executive development,area
1931,officer representative,official
1932,cell phone,secure telephone
1933,distribution authority,STRIPES
1934,the District,Hawaii
1935,visit,issue
1936,Telephone Writers,TDDs
1937,garrison,sea and associate support activity
1938,basic medical support,emergency service
1939,congressional reporting,a high authority
1940,what,the area
1941,Government benefit,subject
1942,functional vision,Physical development
1943,machine and metal repair,work function
1944,section,the information
1945,support,special event
1946,Base Realignment,a military installation
1947,notification procedure,appropriate emergency response action
1948,package,a receptacle
1949,all plan increment,evaluation
1950,the Defense Industrial Base,agreement
1951,responsibility,the military justice system
1952,joint acquisition program,training
1953,the risk,relevant risk factor
1954,this one,provision
1955,collective bargaining,matter
1956,arrangement,military support
1957,cable tv,Telecommunications line
1958,routine hand washing,precaution
1959,insider threat awareness,ISs program
1960,exercise,activity
1961,infectious disease,issue
1962,guest bedroom,official entertainment
1963,customer,group
1964,staffing requirement,item
1965,child ,the DoD Student Meal Program
1966,retire military,DoD personnel
1967,project increase,Military Department
1968,refueling area,activity
1969,PII,control unclassified government datum
1970,item screening,resource
1971,any recommend action,FFRDC performance
1972,carcass,an infectious agent
1973,nurse,medical training
1974,this Directive,regulation
1975,third party,all source
1976,intergovernmental support agreement,partnership
1977,a contingency,a spill prevention and response plan
1978,specification,functional capability
1979,script kiddy,external threat
1980,associate application,electronic information sharing
1981,audits,a matter
1982,the transportation,program
1983,family illness,event
1984,financial data feeder system,the DoD
1985,regulation,directive
1986,maintenance,logistic action
1987,brain injury,term
1988,counterdrug and counterterrorism activity,LEAs
1989,exemption,this enclosure
1990,mail classification,mailer
1991,Hawaii,the United States
1992,a define geographic area,small specify area
1993,firefighting,practical consideration
1994,physical security,security discipline
1995,provision,this Directive
1996,format,NGRER
1997,duty title,exposure
1998,any extension,assignment
1999,part,work function
2000,maintenance,DoD materiel maintenance
2001,the assessment,procedure
2002,commander,Ensure personnel
2003,Army,military exchange
2004,platinum,critical metal
2005,formulary development,the entity
2006,mixed system,the DoD
2007,personnel,related information resource
2008,the VV,schedule
2009,threat,risk factor
2010,the size,various factor
2011,research,DoD organization
2012,briefing,product
2013,a DD Form,support agreement
2014,epidemiology,discipline
2015,compliance,duty
2016,a safety critical risk,the embed software path
2017,TRICARE,military benefit
2018,these offense,sexual misconduct
2019,military,active status
2020,auditing,strategy
2021,a binder,a fuel
2022,those department,participate agency
2023,education,the Components SCI security program
2024,DSS,capability
2025,testing,research a systematic investigation
2026,the acquisition strategy,key program information
2027,the Ryukyu Islands,Japan
2028,victim service contract,procedure
2029,working paper,information document
2030,music,field
2031,testing,the laser system life cycle
2032,intelligence,maritime information
2033,initial fill,project storage change
2034,UESC,alternative financing vehicle
2035,support,civil authority
2036,a member,the Military Services
2037,a classify attachment,classified system
2038,the Reserve,the entire Department
2039,documentation,subcommittee
2040,duty officer,individual
2041,suicide,all active duty death
2042,military academy,the Military Departments
2043,meal price determination,function
2044,a reduction,recommendation
2045,protective personnel clothing,uniform
2046,upper stage,all space vehicle component
2047,standardization,related service
2048,filter separator,system component
2049,collection,activity
2050,plan program requirement,nonrecurring demand
2051,classification,this enclosure
2052,ballistic helmet,personal protective equipment
2053,spp planning conference cost,approve SPP activity
2054,summon,an administrative request
2055,drycleaning,equipment
2056,facility,NCR
2057,Office,relevant policy directive
2058,vehicle,ntv
2059,the communication sector,critical infrastructure
2060,DoD personnel,domestic operation
2061,MILCON,associated facility cost datum estimate
2062,spacecraft,some program
2063,petroleum bag,temporary container
2064,safety,matter
2065,facility,activity
2066,snap requirement,DoD Component ERA and BRAC account programming
2067,current and accurate defense ig,the IG DoD
2068,separation,administrative action
2069,civilian employee,DoD
2070,GSA Advantage,potential commercial source
2071,naval distillate fuel,product
2072,lead azide,explosive
2073,earthquake,natural catastrophe
2074,rapid access,casualty assistance
2075,single point,industrial capability risk
2076,individual,individual
2077,DoD Component enclave,the DISN
2078,breach,control unclassified information
2079,consult,diagnostic or evaluative purpose
2080,statement,the exposure incident
2081,DSCA,the DoD global
2082,gif,domain
2083,caption,briefing slide
2084,RRP,coordination
2085,private sector community,certify child care provider
2086,bird,any live or dead vertebrate animal
2087,the commander,senior leader
2088,action,official purpose
2089,concern,HSR
2090,vehicle,mission
2091,policy,DoD materiel disposition policy
2092,budgeting,subject
2093,ALP,the ALP
2094,passenger,ntv
2095,high personnel mobility,circumstance
2096,post engineer,installation service function
2097,C,exist solid waste management practice
2098,delete,a flexible retention period
2099,spinach leave,50 percent dark green leave
2100,all land,all site
2101,competency,experience
2102,executive order,various authority
2103,isolation,movement
2104,prototype,item
2105,a JTF,activity
2106,an HRM es capability,time
2107,dedicated personnel resource,sufficient resource
2108,DoD 5400,regulation
2109,local mayor,agent
2110,distribution,datum
2111,board game,stress relief
2112,image,file
2113,audit,work
2114,training,the DoD VE program
2115,CBRN,military or national significance
2116,defense,mission partner
2117,naval vessel,unit
2118,the accountability,management responsibility
2119,unique test support capability,support requirement
2120,task,facility
2121,emergency medical service,White House function
2122,fence,item
2123,anticipate course,threat characterization
2124,certification requirement,this issuance
2125,child development center,the DoD Components
2126,processing,activity
2127,certification,that order
2128,tenant,those facility manager
2129,major change,priority
2130,public benefit transfer,legal authority
2131,dinner,event
2132,furunculosis,Persistent or recurrent symptomatic cyst
2133,requirement,OSA
2134,the secretary,service
2135,reference,the penalty
2136,research,all DoD cybersecurity research and engineering investment
2137,those common support cost,WFS appropriation
2138,circuit,item
2139,arsenal,organization
2140,service,the MAAs
2141,the ICE,all relevant cost estimate
2142,explosive,personnel
2143,scientific merit,an IRB
2144,budget,activity
2145,equipment,the core phase
2146,guidance and control section,individual major missile component
2147,military family,that local community
2148,behavior,domestic violence
2149,pumping,operation
2150,major force structure change,lodging program
2151,control substance,control inventory item
2152,doctrine,key enabler
2153,acquisition,the DoD
2154,budget,support YRRP
2155,the Military Departments,the DoD
2156,the group,each propose program
2157,manufacturing,system
2158,DoD ,all DoD civilian personnel
2159,disapproval,measure
2160,assessment,SFA
2161,working paper,informal document
2162,the secondary containment system,the tank system
2163,liaison,civil sar function
2164,salary,this service
2165,training,country
2166,provision,countermeasure
2167,soil conditioner,a useful product
2168,an estimate date,treatment
2169,mill,facility
2170,cucumber,seven fresh topping
2171,software,service
2172,tax collection action,complaint
2173,the extent,the soil
2174,scope,electronic or write form
2175,write waiver,administrative responsibility
2176,commander,basic military gathering
2177,vocabulary,structural metadata
2178,section,applicable law
2179,imminent or credible threat,urgent situation
2180,NSN,information
2181,enterprise,a minimum
2182,travel,cost
2183,guerrilla warfare,traditional method
2184,compensatory service,the child
2185,USA,military personnel
2186,Reserve military,DoD service
2187,outpatient care,service
2188,distribution,DAWG meeting
2189,purchase,any enforceable agreement
2190,organization,interested person
2191,unauthorized disclosure,serious security incident
2192,banner,hard copy
2193,dissemination,public affair risk communication
2194,section,United States Code
2195,technical datum,capability
2196,the tour length,the prescribed tour
2197,insignia,thing
2198,grievance,matter
2199,open case,open case
2200,an assessment,use
2201,research development,research a systematic investigation
2202,part,transportation
2203,the authority,how key program decision
2204,special rate,overtime pay purpose
2205,acquisition,future real property asset
2206,production,system
2207,alignment,key issue
2208,valve,distribution system component
2209,the authority,installation commander
2210,tribal elder,appropriate attendee
2211,individual,the affected population
2212,command,personnel
2213,a company,a rider
2214,capability,a minimum
2215,MCIO investigator,appropriately skilled professional
2216,contract,agreement
2217,lump sum,o Retirement planning
2218,relevant labor relation statute,ethic principle
2219,all transportation cost,service
2220,Strategic Plan,source
2221,UFC,practice
2222,information,resource
2223,decontamination,resultant cost
2224,recreation,delivery system
2225,acquisition,DoD functional area
2226,the military,DoD
2227,information technology,materiel standardization
2228,munition response,DoD military munition
2229,the Directors,component
2230,tax assistance,legal assistance
2231,pandemic disease,major health threat
2232,newspaper,private and public medium
2233,release,and procedure
2234,community center,public place
2235,sniper training,advanced marksmanship training
2236,application,system
2237,but,Food and beverage activity
2238,safety,program
2239,force,the response
2240,security assistance office,foreign country
2241,acquisition,STI service
2242,a fund citation,complete billing information
2243,preventive medication,recommendation
2244,jtf,activity
2245,maintenance,management
2246,appropriate legal authority,plan information
2247,pay,dollar amount field
2248,GFP,property
2249,research,educational program
2250,matter,the information environment
2251,property accountability,administrative requirement
2252,chemical,alternative labeling requirement
2253,placement,the autoclave
2254,search,the database
2255,plan,product
2256,security assistance activity,security cooperation
2257,allotment,dollar amount field
2258,officer,any duty or training status
2259,personnel,component
2260,bloody nose,minor injury
2261,logistic,program
2262,conference,training
2263,contracting officer,acquisition official
2264,the District,jurisdiction
2265,incident,threat
2266,receipt,effective fuel capability
2267,evidence,independently derive evidence
2268,recommend update,recommend solution
2269,an itemize cost breakdown,the spill response
2270,construction,joint project
2271,ULP charge,matter
2272,a State,small specify area
2273,any interagency,the PPAG
2274,the impact,factor
2275,the subordinate commander,factor
2276,upper stage,space vehicle operation
2277,travel restriction,the order
2278,protester,external threat
2279,date,Service history
2280,DoDD,exist DoD policy
2281,procedure,planning document
2282,aircraft,system
2283,military,advanced marksmanship training
2284,inactive duty training,the Reserve Components
2285,education,violence prevention and response program
2286,clemency,program
2287,potential,the future
2288,award,the JROTC program
2289,the subject line,the message
2290,FEMA,agency
2291,budgeting,the live training and test domain
2292,the use,shipment tracking device
2293,preparation,sustainable procurement indicator
2294,testing,a systematic investigation
2295,organ,pathology waste
2296,the National Guard,Designated Active and Reserve Component military personnel
2297,chemical agent,toxicological agent
2298,a breach,Federal agency
2299,proper security clearance,order
2300,any rebuttal,record
2301,substitute,material
2302,imprest fund,authorized purpose
2303,child,family
2304,MPPEH,material
2305,length,the prisoner sentence
2306,safety,the system design
2307,coordination,the Program
2308,imprest,authorized purpose
2309,manifestation,esophageal stricture
2310,defective exhaust,120 faulty equipment
2311,work,the FFRDC
2312,a common set,an assessment methodology
2313,personnel,RTF capability
2314,the content,variable
2315,reference,and policy
2316,location,a CPO
2317,Teletypewriters,TDDs
2318,NATO Standardization Agreements,standardization agreement
2319,fungicide,desiccant
2320,the subcategory,moderate complexity
2321,reprimand,administrative power
2322,serious violation,any offense
2323,urgency,that the require information
2324,work location,exposure
2325,DSS,time
2326,train personnel,military funeral honor
2327,corporation,any person
2328,social networking,collaborative tool
2329,the Pentagon,the NCR
2330,continuity,related element
2331,Agency,any DoD organization
2332,protective service agency,a government authority
2333,special selection board,promotion selection board
2334,the distribution,function
2335,committee report,requirement
2336,pencil,those material
2337,the cost,oversight
2338,the application,individual identification
2339,who,active duty
2340,the specific circumstance,separation
2341,counseling,administrative power
2342,Coast Guard personnel,member
2343,exercise,installation
2344,major incident,practice
2345,the employment,reason
2346,the requirement,specific storage requirement
2347,law enforcement activity,Federal Agencies
2348,agricultural clearance,matter
2349,clothe washer,common area
2350,plant,living resource
2351,the die,mission
2352,the result,the command
2353,certification,direct training requirement
2354,maintenance organization,level
2355,local government,official
2356,a telephone number,information
2357,first aid,basic care
2358,rape,violence
2359,use,DoD Components
2360,the identification,intelligence capability
2361,information,characteristic
2362,support,the United States
2363,the geographic combatant,DoD
2364,clothing,end item
2365,datum,topic
2366,cybersecurity,standard
2367,IUS,information system
2368,rental and lease agreement,any enforceable agreement
2369,resource,the cap
2370,processing,illegal drug possession
2371,spacing,the Defense Privacy Office
2372,arm room,facility
2373,guidance,this issuance
2374,JCIG meeting and capability demonstration,establish program event
2375,an urn,a container
2376,assessment,service
2377,collection,DITMAC activity
2378,iodine,a halogen
2379,the law,relevant international law
2380,the cost,this property
2381,it standard,guidance
2382,monitor,hard drive component
2383,international water,area
2384,specialize advisory,technical support
2385,all software capability description,government expense
2386,control cryptographic item,COMSEC equipment
2387,external hard drive,ancillary equipment
2388,the DHS NOC,agency
2389,hazing,discrimination
2390,any time,function
2391,access,academic and financial advising
2392,both prime contractor,agency
2393,gap analysis,an evolve analysis
2394,problem,problem
2395,Procurement,separate reporting category
2396,seminar,event
2397,duct,utility opening
2398,the specific software application,server
2399,unit,material master datum
2400,personnel,DoD functional area
2401,passenger aircraft,liaison vehicle
2402,aircraft,the DoD Components
2403,a stepchild,an unmarried child
2404,the amount,metered mail
2405,letter,forum
2406,hardware,ICT
2407,cooperation,the national level
2408,proper management,program
2409,the member residence,housing
2410,Records Holding Area,phase name
2411,drunkenness,serious offense
2412,enterprise manual,procedural and clarify enterprise guidance
2413,policy governing assignment,international cooperation
2414,guidance,audit documentation
2415,the packing list,shipment
2416,network information,network provider
2417,relationship,this section
2418,the access,this regulation
2419,the SDP,JSWSR requirement
2420,hardware,the equipment
2421,active duty,the DoD
2422,antiretroviral drug,medication
2423,travel,Administrative cost
2424,law enforcement support,civilian law enforcement agency
2425,performance evaluation,administrative power
2426,USAID,agency
2427,bullet,symbol
2428,color guard,military support
2429,record metadata,record
2430,any anticipate cost saving,transaction
2431,the date,the estimate fair market value
2432,monitoring,proper implementation
2433,revision,requirement
2434,any meal period,official travel status
2435,the Active,the Air Force
2436,fire,the United States
2437,safety measure,operating procedure
2438,alert,simple process action
2439,environmental restoration,resultant cost
2440,all detainee matter,the DoD Detainee Program
2441,the North Atlantic Treaty Organization,foreign country
2442,crime,directive
2443,the dollar amount,the scp
